trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
153,False,"{'a': 0.5, 'e': 0.25233442195537764}",30,13,9.935045233232326,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
154,False,"{'a': 0.5, 'e': 0.25007360111209415}",20,8,-11.968595540348927,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
155,False,"{'a': 0.5, 'e': 0.2478330363672288}",30,22,15.500816146154829,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.5, 'e': 0.24561254623381226}",20,12,-9.736178047197669,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
157,False,"{'a': 0.5, 'e': 0.24341195085092973}",25,8,9.53251542697566,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
158,False,"{'a': 0.5, 'e': 0.24123107196915192}",30,22,11.702362896039157,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.5, 'e': 0.2390697329360971}",30,9,35.53085759716934,"{0: 20, 1: 1, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.5, 'e': 0.23692775868212176}",20,13,15.407882802080099,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.5, 'e': 0.23480497570614037}",20,6,-46.115135604396926,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 1}",1
162,False,"{'a': 0.5, 'e': 0.23270121206157107}",20,7,9.817350326450077,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
163,False,"{'a': 0.5, 'e': 0.23061629734240854}",25,11,9.500073012350027,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
164,False,"{'a': 0.5, 'e': 0.2285500626694205}",25,19,1.505549119365232,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
165,False,"{'a': 0.5, 'e': 0.2265023406764688}",20,0,30.360086375188658,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
166,False,"{'a': 0.5, 'e': 0.22447296549695234}",20,13,-11.938970042887451,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
167,False,"{'a': 0.5, 'e': 0.22246177275037213}",30,19,5.986799111124774,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
168,False,"{'a': 0.5, 'e': 0.22046859952901599}",25,13,5.84876622312988,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
169,False,"{'a': 0.5, 'e': 0.21849328438476318}",25,11,13.898226721283,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
170,False,"{'a': 0.5, 'e': 0.2165356673160071}",20,4,-15.560861178707457,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
171,False,"{'a': 0.5, 'e': 0.21459558975469478}",20,0,6.756528151065133,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
172,False,"{'a': 0.5, 'e': 0.2126728945534831}",20,6,22.793716870014475,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.5, 'e': 0.2107674259730094}",30,8,25.776652091477455,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
174,False,"{'a': 0.5, 'e': 0.208879029669277}",20,16,8.320053675479937,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.5, 'e': 0.20700755268115265}",20,3,29.327844333082325,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.5, 'e': 0.2051528434179772}",25,12,0.11885624515575866,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
177,False,"{'a': 0.5, 'e': 0.20331475164728618}",20,12,13.111256607243238,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.5, 'e': 0.2014931284826413}",20,13,12.641744711829224,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.5, 'e': 0.19968782637157012}",25,17,17.821064563880277,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.5, 'e': 0.1978986990836147}",25,15,7.902561256655403,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
181,False,"{'a': 0.5, 'e': 0.19612560169848647}",30,13,-9.469130027092286,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 0}",1
182,False,"{'a': 0.5, 'e': 0.1943683905943277}",30,7,26.530421231663805,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
183,False,"{'a': 0.5, 'e': 0.19262692343607835}",30,15,24.93683923175964,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
184,False,"{'a': 0.5, 'e': 0.19090105916394634}",30,16,7.707261547188493,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
185,False,"{'a': 0.5, 'e': 0.18919065798198206}",30,12,4.060328720942015,"{0: 16, 1: 1, 2: 0, 3: 1, 4: 0}",1
186,False,"{'a': 0.5, 'e': 0.18749558134675456}",25,12,-32.21985832498072,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
187,False,"{'a': 0.5, 'e': 0.18581569195612968}",20,6,16.679472240518194,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
188,False,"{'a': 0.5, 'e': 0.1841508537381482}",20,15,-32.03402675707968,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 1}",1
189,False,"{'a': 0.5, 'e': 0.18250093184000432}",20,11,6.421943594142244,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
190,False,"{'a': 0.5, 'e': 0.1808657926171221}",30,21,-26.048187751488598,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
191,False,"{'a': 0.5, 'e': 0.17924530362233052}",20,0,9.612007678551564,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
192,False,"{'a': 0.5, 'e': 0.17763933359513498}",25,3,31.396117425994586,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
193,False,"{'a': 0.5, 'e': 0.1760477524510852}",20,13,6.165919751344154,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
194,False,"{'a': 0.5, 'e': 0.17447043127123835}",20,6,12.834430265830736,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
195,False,"{'a': 0.5, 'e': 0.1729072422917164}",25,5,23.68886692988759,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
196,False,"{'a': 0.5, 'e': 0.17135805889335742}",20,0,12.43517674656191,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
197,False,"{'a': 0.5, 'e': 0.169822755591459}",20,11,4.074049860380992,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
198,False,"{'a': 0.5, 'e': 0.1683012080256144}",25,0,25.592042647970896,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
199,False,"{'a': 0.5, 'e': 0.16679329294963877}",20,2,-26.833382903022073,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 1}",1
200,False,"{'a': 0.5, 'e': 0.16529888822158656}",20,0,20.104224855847725,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
201,False,"{'a': 0.5, 'e': 0.16381787279385768}",25,1,16.954219895623375,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 0}",1
202,False,"{'a': 0.5, 'e': 0.16235012670339283}",20,10,12.09166916076609,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
203,False,"{'a': 0.5, 'e': 0.16089553106195606}",20,5,12.104000804663878,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
204,False,"{'a': 0.5, 'e': 0.15945396804650522}",20,11,15.686297531511467,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
205,False,"{'a': 0.5, 'e': 0.15802532088964782}",20,10,-13.033145839415234,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 0}",1
206,False,"{'a': 0.5, 'e': 0.15660947387018306}",20,1,27.20777782243343,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
207,False,"{'a': 0.5, 'e': 0.15520631230372825}",35,5,21.44503009685728,"{0: 28, 1: 0, 2: 2, 3: 0, 4: 0}",1
208,False,"{'a': 0.5, 'e': 0.15381572253342932}",30,15,26.962537048494184,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
209,False,"{'a': 0.5, 'e': 0.15243759192075457}",20,5,1.2499814304952315,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
210,False,"{'a': 0.5, 'e': 0.15107180883637086}",35,11,24.104734370338836,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 0}",1
211,False,"{'a': 0.5, 'e': 0.14971826265110166}",20,7,-11.280278208410532,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 0}",1
212,False,"{'a': 0.5, 'e': 0.14837684372696586}",20,13,8.002605049976054,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
213,False,"{'a': 0.5, 'e': 0.14704744340829723}",25,12,14.515647600889025,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
