trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
86,False,"{'a': 0.5, 'e': 0.4611647152086585}",20,1,-3.9602926510277996,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 0}",1
87,False,"{'a': 0.5, 'e': 0.45703285403707794}",25,14,-2.645489429443555,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
88,False,"{'a': 0.5, 'e': 0.45293801277655776}",20,0,-69.17721962978774,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
89,False,"{'a': 0.5, 'e': 0.448879859742717}",25,12,17.92423239330935,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.5, 'e': 0.44485806622294116}",30,23,11.594393221197986,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.5, 'e': 0.44087230644975617}",20,10,10.92426557809595,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
92,False,"{'a': 0.5, 'e': 0.4369222575744412}",20,11,17.309240379438165,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.5, 'e': 0.43300759964087765}",20,13,8.704004887024041,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.5, 'e': 0.42912801555963254}",20,4,-71.16028934618794,"{0: 10, 1: 3, 2: 1, 3: 1, 4: 1}",1
95,False,"{'a': 0.5, 'e': 0.42528319108227414}",25,19,-1.0577920752080339,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
96,False,"{'a': 0.5, 'e': 0.42147281477591764}",20,8,-16.056217997009792,"{0: 8, 1: 2, 2: 2, 3: 0, 4: 0}",1
97,False,"{'a': 0.5, 'e': 0.41769657799799886}",30,12,-1.5948104292865404,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 0}",1
98,False,"{'a': 0.5, 'e': 0.4139541748712741}",25,15,-47.275476927910745,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 1}",1
99,False,"{'a': 0.5, 'e': 0.41024530225904404}",25,17,-28.77626838271709,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
100,False,"{'a': 0.5, 'e': 0.40656965974059917}",30,13,-0.5008042101648684,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
101,False,"{'a': 0.5, 'e': 0.4029269495868858}",25,20,11.17973971193246,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.5, 'e': 0.3993168767363899}",20,0,-1.3023018663385217,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
103,False,"{'a': 0.5, 'e': 0.3957391487712367}",20,3,-26.083852792306722,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
104,False,"{'a': 0.5, 'e': 0.392193475893505}",25,7,-12.149139811110349,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 0}",1
105,False,"{'a': 0.5, 'e': 0.38867957090175304}",20,0,3.981292500850307,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",1
106,False,"{'a': 0.5, 'e': 0.3851971491677552}",20,14,-2.5013316385328874,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
107,False,"{'a': 0.5, 'e': 0.3817459286134471}",25,8,-87.6067799111033,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 2}",1
108,False,"{'a': 0.5, 'e': 0.3783256296880768}",20,8,18.685305798833888,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.5, 'e': 0.3749359753455614}",20,0,0.021980857377488672,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
110,False,"{'a': 0.5, 'e': 0.3715766910220457}",25,13,22.52280932507736,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.5, 'e': 0.36824750461366296}",30,17,-16.22000260529215,"{0: 9, 1: 2, 2: 2, 3: 0, 4: 0}",1
112,False,"{'a': 0.5, 'e': 0.36494814645449375}",25,2,-28.936960597626037,"{0: 19, 1: 1, 2: 1, 3: 2, 4: 0}",1
113,False,"{'a': 0.5, 'e': 0.3616783492947233}",20,6,23.301609481578698,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.5, 'e': 0.3584378482789939}",25,15,4.045565909799221,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
115,False,"{'a': 0.5, 'e': 0.3552263809249515}",25,19,11.96404893811937,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.5, 'e': 0.35204368710198464}",20,5,22.811275281924623,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.5, 'e': 0.34888950901015336}",20,13,1.7422675059182233,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
118,False,"{'a': 0.5, 'e': 0.3457635911593078}",30,22,15.078032144798833,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.5, 'e': 0.3426656803483929}",30,17,9.890077122015983,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
120,False,"{'a': 0.5, 'e': 0.3395955256449392}",20,0,3.8271832601228515,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
121,False,"{'a': 0.5, 'e': 0.336552878364737}",25,16,-6.182704439305026,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
122,False,"{'a': 0.5, 'e': 0.33353749205169325}",25,16,21.0704293402149,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.5, 'e': 0.3305491224578677}",20,0,-64.19212569285379,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
124,False,"{'a': 0.5, 'e': 0.3275875275236896}",25,18,2.081117325780073,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
125,False,"{'a': 0.5, 'e': 0.32465246735834974}",20,11,-0.5420787641578952,"{0: 7, 1: 2, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.5, 'e': 0.3217437042203702}",20,1,-13.967745449108708,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
127,False,"{'a': 0.5, 'e': 0.3188610024983463}",20,0,-15.418217506151551,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
128,False,"{'a': 0.5, 'e': 0.31600412869186256}",20,12,3.503665670979305,"{0: 6, 1: 2, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.5, 'e': 0.31317285139257856}",20,6,17.1542189683831,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.5, 'e': 0.31036694126548503}",20,11,-5.5890162041659,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
131,False,"{'a': 0.5, 'e': 0.30758617103032765}",25,13,-3.795068054951935,"{0: 9, 1: 2, 2: 1, 3: 0, 4: 0}",1
132,False,"{'a': 0.5, 'e': 0.30483031544319683}",20,3,-28.02596222326449,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
133,False,"{'a': 0.5, 'e': 0.30209915127828346}",20,12,1.0431962444950253,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
134,False,"{'a': 0.5, 'e': 0.2993924573097967}",20,7,6.080500413592822,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
135,False,"{'a': 0.5, 'e': 0.2967100142940453}",25,5,-36.795162238645176,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",1
136,False,"{'a': 0.5, 'e': 0.29405160495167837}",30,12,-35.36171715888475,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 1}",1
137,False,"{'a': 0.5, 'e': 0.29141701395008573}",20,13,0.13219683116085834,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
138,False,"{'a': 0.5, 'e': 0.28880602788595566}",25,12,0.997751127264237,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
139,False,"{'a': 0.5, 'e': 0.2862184352679895}",25,15,20.735620265588604,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.5, 'e': 0.2836540264997704}",30,19,0.8005746254299353,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
141,False,"{'a': 0.5, 'e': 0.28111259386278603}",25,13,15.739323191839585,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.5, 'e': 0.2785939314996033}",30,16,18.89729080862178,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
